<Trait>,Heritability_0.9_Rep_1,Heritability_0.9_Rep_2,Heritability_0.9_Rep_3,Heritability_0.9_Rep_4,Heritability_0.9_Rep_5,Heritability_0.9_Rep_6,Heritability_0.9_Rep_7,Heritability_0.9_Rep_8,Heritability_0.9_Rep_9,Heritability_0.9_Rep_10,Heritability_0.9_Rep_11,Heritability_0.9_Rep_12,Heritability_0.9_Rep_13,Heritability_0.9_Rep_14,Heritability_0.9_Rep_15,Heritability_0.9_Rep_16,Heritability_0.9_Rep_17,Heritability_0.9_Rep_18,Heritability_0.9_Rep_19,Heritability_0.9_Rep_20,Heritability_0.9_Rep_21,Heritability_0.9_Rep_22,Heritability_0.9_Rep_23,Heritability_0.9_Rep_24,Heritability_0.9_Rep_25,Heritability_0.9_Rep_26,Heritability_0.9_Rep_27,Heritability_0.9_Rep_28,Heritability_0.9_Rep_29,Heritability_0.9_Rep_30,Heritability_0.9_Rep_31,Heritability_0.9_Rep_32,Heritability_0.9_Rep_33,Heritability_0.9_Rep_34,Heritability_0.9_Rep_35,Heritability_0.9_Rep_36,Heritability_0.9_Rep_37,Heritability_0.9_Rep_38,Heritability_0.9_Rep_39,Heritability_0.9_Rep_40,Heritability_0.9_Rep_41,Heritability_0.9_Rep_42,Heritability_0.9_Rep_43,Heritability_0.9_Rep_44,Heritability_0.9_Rep_45,Heritability_0.9_Rep_46,Heritability_0.9_Rep_47,Heritability_0.9_Rep_48,Heritability_0.9_Rep_49,Heritability_0.9_Rep_50,Heritability_0.9_Rep_51,Heritability_0.9_Rep_52,Heritability_0.9_Rep_53,Heritability_0.9_Rep_54,Heritability_0.9_Rep_55,Heritability_0.9_Rep_56,Heritability_0.9_Rep_57,Heritability_0.9_Rep_58,Heritability_0.9_Rep_59,Heritability_0.9_Rep_60,Heritability_0.9_Rep_61,Heritability_0.9_Rep_62,Heritability_0.9_Rep_63,Heritability_0.9_Rep_64,Heritability_0.9_Rep_65,Heritability_0.9_Rep_66,Heritability_0.9_Rep_67,Heritability_0.9_Rep_68,Heritability_0.9_Rep_69,Heritability_0.9_Rep_70,Heritability_0.9_Rep_71,Heritability_0.9_Rep_72,Heritability_0.9_Rep_73,Heritability_0.9_Rep_74,Heritability_0.9_Rep_75,Heritability_0.9_Rep_76,Heritability_0.9_Rep_77,Heritability_0.9_Rep_78,Heritability_0.9_Rep_79,Heritability_0.9_Rep_80,Heritability_0.9_Rep_81,Heritability_0.9_Rep_82,Heritability_0.9_Rep_83,Heritability_0.9_Rep_84,Heritability_0.9_Rep_85,Heritability_0.9_Rep_86,Heritability_0.9_Rep_87,Heritability_0.9_Rep_88,Heritability_0.9_Rep_89,Heritability_0.9_Rep_90,Heritability_0.9_Rep_91,Heritability_0.9_Rep_92,Heritability_0.9_Rep_93,Heritability_0.9_Rep_94,Heritability_0.9_Rep_95,Heritability_0.9_Rep_96,Heritability_0.9_Rep_97,Heritability_0.9_Rep_98,Heritability_0.9_Rep_99,Heritability_0.9_Rep_100
Z001E0001,2.569832703,2.543241773,2.481303854,2.721875911,2.581807318,2.610220726,2.588778286,2.493931326,2.723322511,2.623322953,2.542730363,2.642371443,2.515916943,2.567827732,2.578408432,2.624539138,2.649878605,2.554512697,2.690871352,2.603855238,2.746622525,2.557254195,2.687448297,2.617761299,2.534995499,2.687582464,2.616266466,2.614135327,2.519301342,2.667468277,2.606754999,2.681040621,2.603726067,2.599203596,2.727484552,2.561860293,2.615059637,2.596343893,2.744966442,2.630437054,2.571815819,2.635509024,2.509852065,2.682537683,2.578517552,2.64441659,2.67011097,2.535475371,2.585213077,2.521592683,2.52572271,2.653232951,2.600642235,2.652502125,2.576781305,2.588896824,2.595635856,2.647357961,2.615246335,2.577031264,2.675938185,2.662317313,2.523424416,2.723365172,2.660539383,2.697780409,2.578576484,2.602460595,2.641689439,2.593934527,2.500422263,2.701429219,2.748875235,2.530012939,2.611349244,2.673538019,2.68472196,2.621963678,2.600951206,2.654800485,2.589764999,2.55766058,2.545042529,2.579388974,2.621946807,2.527248761,2.608641479,2.539595804,2.584476432,2.578906363,2.579045208,2.557944069,2.564554371,2.625726591,2.586118515,2.552008894,2.598465195,2.654033892,2.596257177,2.592224222
Z001E0002,1.975863218,1.952003832,1.976938569,1.919534242,2.007406407,2.011220195,1.969974698,1.962250126,2.065365884,1.953781678,1.949233304,1.898382425,1.994887107,1.915418674,2.080345824,1.941488479,1.92353177,1.930996246,1.973003559,2.036388916,1.999169938,1.930519305,2.014338705,1.931393724,1.925549371,1.970468505,1.943577648,2.012401527,1.892704619,2.025715767,2.086968446,1.887652329,1.96938738,1.828398804,2.017312479,1.936321121,1.906498441,1.892185369,2.012579503,2.02728911,2.038267301,1.815573825,2.099842977,1.934139195,1.846828053,1.89860936,2.013780289,1.981078376,1.992348134,2.048471948,1.952907365,2.033155327,1.978768162,1.900509763,1.936176142,2.003164508,2.012813112,1.931793919,1.920276344,1.884965307,2.029517041,2.020273158,2.006778455,2.015306161,1.9504794,1.943531058,1.897068339,1.886493444,1.966226057,1.938184024,1.957952509,1.991860398,1.981050876,2.075978281,1.917959487,1.976926665,1.902584316,2.05434879,2.068736332,1.993762673,1.99646441,1.995655944,1.957547557,2.028166699,1.87731533,1.921587749,2.008554777,1.890572271,1.981028306,1.85987485,1.887322976,2.051635747,2.044792129,1.888522465,1.899662045,1.990724775,1.983464716,1.902262329,2.071765784,1.943019609
Z001E0003,1.630683537,1.5574018,1.454881052,1.440793041,1.674067844,1.513227824,1.556699399,1.609796842,1.463260966,1.539592131,1.522658046,1.448601914,1.57431438,1.577431049,1.510910146,1.561124735,1.688481306,1.578281467,1.622824158,1.520945235,1.516435833,1.713797943,1.51344826,1.564778269,1.525072359,1.56893969,1.569934633,1.619471378,1.457982032,1.480851565,1.569279797,1.542410429,1.647576064,1.557945374,1.595983097,1.47399106,1.555025845,1.461323731,1.550521247,1.570596413,1.524302965,1.456250014,1.566596373,1.593508298,1.593292166,1.612041327,1.571803857,1.431758817,1.549820827,1.353374253,1.531773026,1.49374332,1.588144448,1.571885463,1.522735293,1.580524577,1.69802704,1.616793625,1.577419416,1.610135229,1.493734149,1.538017155,1.517142277,1.488995545,1.430082325,1.564273795,1.532855428,1.583774292,1.496500811,1.58274674,1.466065529,1.402245165,1.568960202,1.490365736,1.548802989,1.585717587,1.560807257,1.627052403,1.623747465,1.492071067,1.583653336,1.487779155,1.571133094,1.535294393,1.466260337,1.634163338,1.55089068,1.593460403,1.537111057,1.572328832,1.487291866,1.524393035,1.578230279,1.589284488,1.563498875,1.559954689,1.61414313,1.595390237,1.6116253,1.450522679
Z001E0004,1.222279601,1.115787095,1.153702807,1.208725067,1.237414312,1.242933419,1.243012858,1.200393121,1.212924926,1.22253976,1.178672872,1.066961008,1.165135797,1.217867691,1.330670858,1.196356971,1.118913171,1.055546611,1.138052885,1.225488022,1.104804385,1.27068067,1.216894539,1.209686915,1.145740341,1.136408086,1.177817331,1.124910366,1.21531188,1.204623305,1.16162465,1.231620826,1.136081909,1.24467811,1.199210372,1.164269878,1.218536123,1.119565862,1.167636383,1.184329847,1.193168595,1.154919054,1.317654737,1.194162939,1.182517266,1.031628025,1.141401302,1.183439841,1.109567386,1.17252777,1.199655212,1.174425328,1.071575663,1.173737216,1.226756153,1.146994867,1.081289699,1.197093155,1.172259851,1.183803406,1.159774269,1.127048335,1.261697364,1.203929266,0.974106006,1.064956387,1.15168781,1.167229113,1.13565906,1.204127548,1.130966797,1.132092793,1.342412416,1.121629444,1.241457726,1.184138296,1.224486685,1.159301333,1.244545424,1.065354915,1.121824189,1.204456436,1.206092319,1.190871121,1.160576026,1.175287828,1.269442374,1.205176128,1.147430955,1.232535608,1.100820776,1.232204994,1.129874724,1.24698547,1.197200241,1.113068842,1.039985567,1.137557629,1.173633486,1.216404579
Z001E0005,2.166499253,2.093596729,2.121637259,2.206350451,2.178022678,2.105760077,2.15157104,2.199400551,2.057825782,2.08614502,2.196877223,2.0150588,2.155016645,2.09463058,2.197483306,2.121830383,2.127985662,2.084207578,2.138951044,2.166854302,2.139764048,2.167594283,2.115928914,2.085698244,1.989120403,2.093426619,2.096901173,2.194179713,2.064277586,2.129223707,2.059332904,2.201047792,2.12320023,1.98894848,2.132830768,2.179878652,2.085221304,2.140779975,2.156554759,2.253663892,2.183055825,2.012378966,2.059313919,2.069670021,2.103938968,2.065882139,2.228917638,2.130586143,2.254719428,2.060305131,2.190633298,2.167627918,2.040347408,2.093378959,2.12372676,2.150614085,2.140427175,2.183802282,2.16489833,2.039955292,2.135381972,2.178641358,2.127911366,2.199823512,2.080970824,2.1459162,2.116016787,2.141651873,2.163254716,2.128623271,2.106015385,2.091656893,2.182495145,2.035217782,2.109938101,2.13595558,2.210780267,2.111654272,2.085959538,2.128477451,2.076320491,2.160433799,2.1052109,2.136117397,2.163645832,2.190354278,2.1509915,2.218232637,2.159332391,2.152030285,2.070734302,2.142478824,2.106254982,2.139079842,2.191542017,2.158592406,2.138143747,2.243165992,2.146646132,2.151466229
Z001E0006,2.009622944,2.06213157,2.025021456,2.077608468,2.083276815,2.076798243,1.98648859,1.990689175,2.011963762,1.924557852,2.049482428,2.028964862,1.96460096,2.123133132,2.010670572,2.027307827,2.047564968,2.044320213,1.94139158,2.100081447,2.172699189,2.000500211,2.119182842,1.994945615,2.051363496,2.092635797,2.014076124,2.007789049,2.089320673,1.958416265,2.052042075,2.047241238,2.057275779,1.975581736,1.99862628,2.154507094,2.046770754,1.981826296,2.035580223,2.07830724,2.053631738,2.060713709,2.03105675,2.016388437,2.016895664,2.020502448,2.054353778,2.074436269,1.966557792,1.917286456,2.032596501,2.056922097,2.053375176,2.060773528,1.974539774,2.025236794,2.06679766,1.947127119,1.98703807,1.968995433,2.03943938,1.994188608,2.090106763,2.059567638,1.977273079,1.992470201,2.053737736,1.957071977,2.056454339,1.966818831,2.07091577,2.022776187,1.951544623,2.082122907,1.973087719,1.990865884,1.969328836,2.118777083,2.069016182,2.064263361,2.025724938,2.176826141,2.130398,2.031707019,1.997194248,2.031010227,1.943479693,1.955821807,2.067638859,1.939285152,2.053407147,2.044342242,1.942424721,1.939312934,2.053823941,2.002775054,1.928712811,2.091127718,1.991615706,1.937856596
Z001E0007,1.566969524,1.607315965,1.715015599,1.656055,1.581231441,1.660312391,1.682041198,1.639307103,1.640241607,1.547680457,1.627759222,1.716169598,1.64791533,1.599280624,1.606949771,1.599639521,1.720364119,1.565311231,1.658767316,1.575385618,1.548204341,1.650455635,1.586544887,1.634930291,1.742832035,1.60146916,1.681622707,1.631352513,1.578605469,1.615548406,1.601631135,1.610517982,1.455668064,1.551171625,1.731801622,1.590133947,1.683715431,1.632305118,1.738673127,1.706521459,1.706989535,1.663199041,1.575330212,1.607722862,1.562954874,1.585003522,1.532890455,1.699531604,1.655619934,1.687512119,1.61909246,1.556745226,1.701326029,1.669894733,1.49804302,1.745994713,1.676122593,1.582281381,1.60354283,1.537586551,1.607011668,1.603217109,1.657260332,1.593152616,1.580869459,1.650871362,1.574815297,1.613200799,1.626412253,1.636558372,1.637910276,1.595277335,1.645449482,1.591325219,1.615419896,1.707739319,1.514751247,1.681075749,1.52511742,1.755744463,1.794580159,1.595184616,1.689157834,1.572207705,1.655333109,1.608912024,1.651559398,1.67041727,1.656045329,1.619582557,1.678349838,1.634789071,1.783359577,1.600481687,1.646556837,1.68350049,1.613983157,1.632082286,1.638892201,1.527956579
Z001E0008,1.489485414,1.527174195,1.40291511,1.439199643,1.289019686,1.47188122,1.389618842,1.364943628,1.436086527,1.34136174,1.484579598,1.511965271,1.515857428,1.442667013,1.538779748,1.538509028,1.567708554,1.457839721,1.415283742,1.481370347,1.44147282,1.505468223,1.564703215,1.444958361,1.502899206,1.481282693,1.462133693,1.42046145,1.490171423,1.382938942,1.525472531,1.515233544,1.426686275,1.437725033,1.476053161,1.473953568,1.399155372,1.421347558,1.438472159,1.461940711,1.405170078,1.380825946,1.405057421,1.533756343,1.46731202,1.503329633,1.569868924,1.544649542,1.455717525,1.406555485,1.579013574,1.47186923,1.49179698,1.460203674,1.537971765,1.511056071,1.427494201,1.495329865,1.460827187,1.432695355,1.405238521,1.445041627,1.478014636,1.363220224,1.411484568,1.470880768,1.40315609,1.409253685,1.446719689,1.535681254,1.547389729,1.340195553,1.51100652,1.394707809,1.39283026,1.51252636,1.399653288,1.484347539,1.409856889,1.440412702,1.534790033,1.421704751,1.583455962,1.427388446,1.374399973,1.539951152,1.609049587,1.500065459,1.498851948,1.42503485,1.546757003,1.48676652,1.351496185,1.516908685,1.388723153,1.481393648,1.440190399,1.392940359,1.463264588,1.399574038
Z001E0009,1.194801374,1.286115612,1.129362955,1.300410122,1.299320036,1.303254977,1.362602439,1.216043767,1.402456858,1.286744461,1.214007088,1.184702719,1.197812286,1.269531174,1.055851658,1.237194164,1.285662685,1.32234355,1.238651724,1.228227011,1.171118019,1.233962182,1.275033663,1.277776537,1.326704774,1.29982345,1.113526028,1.144146483,1.21482466,1.393583194,1.248707971,1.337516613,1.288425385,1.265839466,1.228167293,1.34262776,1.251054646,1.258894717,1.192261731,1.201495077,1.298113164,1.309993599,1.266414167,1.195771659,1.358656795,1.160224804,1.120432679,1.1723251,1.277190278,1.205595109,1.225844237,1.2621977,1.29439479,1.304500594,1.211225874,1.307771875,1.317848109,1.193548251,1.281240702,1.370917101,1.20324468,1.242009935,1.229810883,1.264823713,1.344622687,1.251995349,1.236093231,1.18854586,1.349240881,1.181046734,1.233456575,1.295511042,1.292037349,1.290268648,1.295188813,1.253751486,1.366762523,1.241368413,1.205101046,1.166851407,1.292758919,1.273439116,1.242814441,1.260575673,1.26700951,1.203903603,1.230831749,1.164685032,1.328481255,1.275794059,1.194050047,1.231455579,1.189042482,1.223966378,1.241527247,1.380637842,1.279473538,1.301838686,1.205241038,1.21452285
Z001E0010,2.663879668,2.726286011,2.724449004,2.613375318,2.645031925,2.873184236,2.716411673,2.666685598,2.683094174,2.754536599,2.704948898,2.681750833,2.710626489,2.654852479,2.659739384,2.703346919,2.761905766,2.757674791,2.619568522,2.744187098,2.685327892,2.668003602,2.731832823,2.588920096,2.732996242,2.634404607,2.70678876,2.625300284,2.667451773,2.722680737,2.737994183,2.70775889,2.779345175,2.753387555,2.764763575,2.592712476,2.701741577,2.704937379,2.762718897,2.745886242,2.734079123,2.649193736,2.683580086,2.676157315,2.78141448,2.691064558,2.67389391,2.687454986,2.629127262,2.723744727,2.739811171,2.697695471,2.709817902,2.58102469,2.617482112,2.701429029,2.666523541,2.652026899,2.605219299,2.795967904,2.80833221,2.617071901,2.728218665,2.647074439,2.773767711,2.727898863,2.714350656,2.761177472,2.620337289,2.725971043,2.737303797,2.698458804,2.688679461,2.740049412,2.711837297,2.604577315,2.727303362,2.712570223,2.718494595,2.705569262,2.64952503,2.672166199,2.706802855,2.774111614,2.660542718,2.602964193,2.651687346,2.785540254,2.76825475,2.667440039,2.727175981,2.601623018,2.773757371,2.690040616,2.746562689,2.72106625,2.703780742,2.698296499,2.857539849,2.690332756
