"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"threshold",7.19896819499605,7.79875111347319,7.73155396266168,7.16296122686735,7.18356438410032,7.23732277269429,7.59435623623432,7.36207979723976,7.2717466977012,7.19187483842174,7.53620751236843,7.38302492338343,7.35752350202222,7.56568156449785,7.53902895055169,7.7187051963825,7.73293092779503,7.59470540582843,7.45907096450596,7.24542575680366,7.39017842395218,7.62269498066872,7.06104969121944,7.44521179104249,7.24130942604589,7.85705906016105,7.55752856516933,7.74134110543659,7.53888750758179,6.96896134463554,6.99609822130755,7.0930055737064,7.40207737596753,7.72277596681371,7.2648423208761,7.77977696681924,7.03814113162334,7.09470876892801,7.21509132864611,7.19318745008673,7.37591449085103,7.41047994385939,7.44670318109826,7.74631843181207,7.19590411214356,7.39317282482799,7.33915451993983,7.62924030011782,7.44185419616303,7.32143106668881,7.14730069639806,7.47247156061655,7.1351635481368,7.12863006841049,7.34328008086244,7.17665432394881,7.17542499279589,7.65805960208029,7.23183731009951,7.26017994171928,7.62228001979516,7.64419943237406,7.17408698287845,7.70588054176393,7.09003004216093,7.05042148313097,7.05862836311192,7.52760065160391,7.70946151312022,7.20082428744177,7.68040191888105,7.37475671863884,7.70211935181838,7.3170845130058,7.44318696860103,7.38311488305971,7.73821230670414,7.59520556704235,7.3478027530775,7.15454659152895,7.71116527905429,7.18315027483808,7.1568707726346,7.36211592323155,7.35124883795622,7.2554439722958,7.36686810545785,7.40334521495019,7.48110840849152,7.3870363806704,7.51947847637638,7.50212223028385,7.4403790903624,7.19332072227207,7.44666167213101,7.46306268798111,7.31328189665057,7.38487540298456,7.40002387792676,7.45355831302317
"mmp84",6.10726512363283,6.89300014234561,6.84595685122784,10.5329476505241,7.92098536231359,6.84105966399434,6.43453772195522,5.75870134827392,6.02656615891928,5.27042941963398,7.47875372288743,7.35286422296338,8.18957914097544,7.54999922311998,5.73638661968425,7.05620127624817,6.28179545692234,7.53324463113495,8.07754412788262,8.57036416207666,9.12037362667908,8.36916222831709,8.17691134473367,8.27830112087747,6.579564255588,8.96592339755409,7.21199038010633,7.30793946564583,5.63243960578501,6.5734759636137,6.49530644585371,6.45972351742975,6.54084928569557,8.04647596722026,6.4555801513672,8.15598067128633,8.05445143149936,5.31203495875465,6.10382033139163,5.52548823020004,7.4809947985062,7.41429020824029,10.1988982048197,9.35467996888386,7.66186990090901,8.85497083185504,7.28241974491297,7.49817199705046,9.26132264604792,6.21449038027467,8.24914780362414,7.10791864731283,7.33515308577984,7.712894454251,7.23693852960272,7.43299771989552,6.25263695439787,5.88410812395506,7.75949599066811,7.05359235476342,6.38606411468379,8.39414289806749,9.82383525489817,9.89419120268647,7.71896392604967,5.87666424498235,8.45715686676544,4.98057546406687,7.00619705181398,7.48816516247297,7.06702440756658,5.34294598243346,7.60357514081468,7.14398960077685,6.43661226396722,8.91979915179348,7.43478377078171,5.25193741657938,8.30986741363054,5.25576572136364,6.58913539823777,8.56794800776461,6.88694794524105,7.8157245746084,6.61659909350013,8.92301302026019,8.41129737524233,6.63379786965231,8.07892623407909,8.74959890539267,9.26558445215747,6.26788520240032,6.64023220848634,8.90374190683838,11.0170295565167,8.14592088916589,6.79572809186379,7.25975462694205,8.29668532217599,8.0847883625496
"umc2151",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"tub1",6.4124856040774,6.08927376949313,4.43809735750301,7.45961959189424,4.51923880285486,6.59880231984027,4.08757709357428,5.35028437540564,5.50803460001262,4.33805866611758,4.81038459921794,3.44068206805508,6.55263371772293,4.69861314260532,4.87604852351615,5.69603323630957,6.73099302121133,5.30158106621261,4.59879789526369,3.30030842085921,6.93504395402019,3.86526475543667,3.35296159162348,6.62487845969821,6.44005556642574,6.8647418570911,4.37640608076876,5.79469438890067,5.30492128315035,6.70457775891927,5.66415157211469,6.5610038008831,5.62707871303121,5.97606581315523,5.36023088052318,3.45240184863476,3.95039787670578,5.50957946304644,4.39947796655699,7.89778185822129,5.8550010618429,6.81320999821421,5.28597995972447,5.57591974567055,5.0654237223018,4.94218219106662,4.59522144736587,4.16258561789323,4.5770513280014,5.31223589074742,4.34715928298627,5.43944281822158,5.88878202764974,6.65639112942708,5.52858389715104,4.90817496345556,4.98003142490236,8.14904739627627,7.30157238781746,4.04362533298607,6.9714721019142,4.05116863636354,4.82943462992307,5.05643963601818,6.10084766755372,5.24063375112451,4.03629319431406,4.26569043738405,7.79724424240584,5.24558482450382,2.80936052241864,5.96373762282295,4.65517620264859,7.61960459637223,5.21771753588226,3.27421136735393,5.42573854448833,5.5517295525444,6.64819678310258,3.71188832071769,4.22783493843463,5.1525613415962,8.32258609152987,5.17731285431904,6.66341240385771,5.55075597306006,7.60911049273659,5.53253035473006,4.29486194156971,3.76904473538923,4.60542879754487,5.74026331261516,6.33450531396383,3.14521065893629,4.08131609312275,3.92236664341337,3.64773068449654,4.94330020200698,6.66966853857062,4.34911746080948
"umc1191",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"isu111b",1.72183124634719,0.667006146979077,1.04522012916675,1.08275668320098,1.5600999486964,1.16599389284025,1.90924401101159,0.781355904502874,0.94691417340178,0.72239931925489,1.49170398853423,0.972025952939561,1.29098743157076,0.829411881860352,1.2033046476013,1.56720686445456,1.49285935370483,0.391224632657725,0.332755059729067,0.932076882655906,0.630472176248617,0.0721197399741129,1.33979845983609,0.47902005011926,1.77029148417404,1.0934012802584,0.591417640933798,0.665004471248494,1.34992041363546,1.7192728271707,1.28161887536922,0.501861051151508,2.61231104442282,1.1379389798615,1.5211576462296,0.318070130274833,1.20564219414487,0.875134488037475,1.15769027214287,0.990997072945362,1.37281736359802,0.627857307441531,0.87388982315457,0.687070848962861,0.856212576123426,0.878985163252509,1.8287907128138,1.54349170300529,2.11972198612196,1.10518907566123,1.3812651030027,1.71856891804373,1.1449447114712,0.565083266576636,0.357188318139634,0.682122120470837,0.387879449693997,0.694417693595568,0.972637793103104,0.932173203165405,0.438831212193662,2.00229469680133,1.3203194884571,1.48148389453834,1.69572913785123,1.89599938797571,0.43228544604014,0.904582917136537,0.856668239978745,0.81621211800649,0.947168449491613,2.04178280726771,1.36792917467301,1.1284895892455,0.75165896090013,1.09386043449086,1.89365553049188,1.0498656818713,0.212627122336386,1.46201512225082,0.739266771661164,1.02372744388654,1.15929295772864,1.05249542615664,0.875163988652048,1.01947489031687,0.516602160827119,1.70282523555287,0.394950925400053,1.25442136946114,1.28913088934198,3.19340892384187,0.577814280012973,1.18267135188165,0.707327194945663,1.5377177320261,2.04195905977613,0.783309615894325,0.820570666994115,1.05896178172083
"isu114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"umc104b",1.18755812472722,1.44402749028001,1.38649854293254,1.36338938321597,2.37367431629164,1.3475904993382,1.42565077587764,0.729526806418249,0.558945058755398,0.869141636916311,1.50857171390743,1.93318292647675,0.543761560534506,0.329852153213068,1.32848925115479,1.52429097681562,0.789446779139951,1.35185558253286,2.3396717677229,2.64534044531462,1.96880534649057,1.51691053265043,1.58849729450995,2.5837332130981,1.25570775257688,1.01374754219282,1.73650503824607,2.35618681088218,1.23190156176071,1.07949073610837,2.52302429968171,0.872038673241718,2.08605827537326,0.873164635474609,0.989496216532359,1.72627732365598,1.44426763473894,1.6781170715773,1.08122218978835,1.9405075928008,2.94757489437859,1.77066106103533,1.71979959891101,1.10346934382252,0.869799777556011,2.1021753021104,0.597759818137689,1.39723032779477,1.14196837271191,1.01249066336175,2.35520848721293,1.55504815940205,3.09623254322688,2.50891113966765,1.54714997052366,0.885994896153136,1.64238035185275,1.62822584177681,2.0333236161147,1.6395354836759,2.01378523516959,2.30742011792327,2.98503782407838,1.4449051321885,1.12964515642022,0.489587696340209,2.14428293165133,1.47247977640188,1.81641939710147,0.790830051159162,1.70607346678463,0.630042416653993,1.08744459211013,0.65037451778241,1.91164672393199,1.86444147585584,2.12386753674835,1.56596245049519,1.68054992497909,0.884335194550289,2.00375198324974,0.579859687990961,0.98629555566518,0.595972494009402,1.0999536314533,1.72131818634122,0.882793638138054,2.07905642141716,1.25491285563672,1.37007956115175,1.78149397135834,1.01174826294735,2.1692974629469,2.26088323524073,1.0342429065378,2.02219701197552,0.788928636722261,0.534383576529564,0.856246976093757,2.09536454115974
"bnlg2233",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mmc0351",7.02037315983276,7.25356889247161,7.38333364589658,6.36050648477709,7.02551285081915,9.29397274715416,8.03832859247802,9.23285181089557,5.3258784127629,7.60065513421651,9.05398033174717,6.42487113905815,9.03073773468628,7.43651778722926,9.82671822000179,9.99509537952741,8.00033072875382,8.83347487318284,6.53248027055147,8.89077847117082,6.44916036064595,5.60858692356643,9.82147831656926,8.05982859954563,9.10322137213464,8.40543694545414,5.20451327375363,8.25840879596626,7.8047680625734,7.55763741100125,9.75281161230359,5.95729926051146,7.53125735634768,7.0624785918686,7.0405505402079,7.55867855632656,8.9735701703095,8.14819599109657,8.4981327024706,9.24214250660447,8.45218474244066,8.48305275197745,7.43850806604922,7.14646710488708,6.62959104292307,7.64945965859658,6.16328646200333,5.89225220389307,6.50381476880514,7.16515275121287,6.44330598519824,6.58130948271952,8.31437837398607,8.05671023356169,8.04088020818344,11.6559378657703,6.70792127534901,6.43335617676365,7.05363692822766,8.82456252593738,6.35130078511773,8.94185474971627,6.68161835236248,5.9203649674669,6.9834650249536,6.17547203508309,8.7164996137727,7.91937182550046,7.71064739464785,7.62620507669027,8.19010621920961,9.34479705662432,7.32173488895992,8.71030634779035,9.1588340534849,7.25228129661676,6.27936099402143,6.49041698601437,7.44018246333417,10.2251801396967,9.32527335551424,6.41787898882316,5.62657744660936,8.30825737587176,5.24948115371433,6.54854131430872,6.23356901033816,8.18554856387738,7.89489106560282,6.7446111647767,9.52786823628571,7.15540860733381,8.30859941639028,8.39017059511329,7.54720960749353,6.66493518203566,7.94576757521531,5.92261571216332,7.52785103796953,9.52258860846464
